Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,TotalOffsides,Age,Nationality,Rank
2024/25,222694.0,Abdoulaye Doucouré,Abdoulaye,Doucouré,M,16.0,Centre Central Midfielder,Everton,EVE,4.0,31 years 235 days,Mali,1.0
2024/25,41062.0,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,F,9.0,Centre Striker,Everton,EVE,2.0,27 years 160 days,England,2.0
2024/25,323846.0,Casemiro,Carlos Henrique,Casimiro,M,18.0,Centre Central Midfielder,Manchester United,MUN,2.0,32 years 182 days,Brazil,2.0
2024/25,340743.0,Nicolas Jackson,Nicolas,Jackson,F,15.0,Centre Second Striker,Chelsea,CHE,2.0,23 years 64 days,Senegal,2.0
2024/25,337402.0,Antoine Semenyo,Antoine,Semenyo,F,24.0,Centre Striker,Bournemouth,BOU,2.0,24 years 229 days,Ghana,2.0
2024/25,362856.0,Sam Szmodics,Sam,Szmodics,M,23.0,Centre Attacking Midfielder,Ipswich Town,IPS,2.0,28 years 334 days,Ireland,2.0
2024/25,356742.0,Ali Al-Hamadi,Ali Ibrahim Karim,Al-Hamadi,F,16.0,Striker,Ipswich Town,IPS,1.0,22 years 175 days,Iraq,7.0
2024/25,355287.0,Yasin Ayari,Yasin,Ayari,M,n/a,Midfielder,Brighton & Hove Albion,BHA,1.0,20 years 322 days,Sweden,7.0
2024/25,362065.0,Ben Brereton,Ben,Brereton,F,17.0,Left Winger,Southampton,SOU,1.0,25 years 127 days,Chile,7.0
2024/25,294324.0,Lewis Cook,Lewis,Cook,M,n/a,Midfielder,Bournemouth,BOU,1.0,27 years 202 days,England,7.0
2024/25,320523.0,Leif Davis,Leif,Davis,D,3.0,Left Full Back,Ipswich Town,IPS,1.0,24 years 236 days,England,7.0
2024/25,360340.0,Bobby De Cordova-Reid,Bobby,De Cordova-Reid,F,14.0,Forward,Leicester City,LEI,1.0,31 years 203 days,Jamaica,7.0
2024/25,345865.0,Jérémy Doku,Jérémy,Doku,F,11.0,Left/Right Winger,Manchester City,MCI,1.0,22 years 88 days,Belgium,7.0
2024/25,288980.0,Odsonne Édouard,Odsonne,Édouard,F,22.0,Centre Striker,Crystal Palace,CRY,1.0,26 years 220 days,France,7.0
2024/25,360844.0,Abdul Fatawu,Abdul,Fatawu,F,7.0,Right Winger,Leicester City,LEI,1.0,20 years 168 days,Ghana,7.0
2024/25,300707.0,Toti Gomes,Tote António,Gomes,D,24.0,Centre Central Defender,Wolverhampton Wanderers,WOL,1.0,25 years 220 days,Portugal,7.0
2024/25,318611.0,Marcus Harness,Marcus,Harness,M,11.0,Left/Centre/Right Attacking Midfielder,Ipswich Town,IPS,1.0,28 years 181 days,Ireland,7.0
2024/25,349224.0,Jack Harrison,Jack,Harrison,M,7.0,Midfielder,Everton,EVE,1.0,27 years 277 days,England,7.0
2024/25,362102.0,Dean Huijsen,Dean,Huijsen,D,2.0,Centre Central Defender,Bournemouth,BOU,1.0,19 years 131 days,Spain,7.0
2024/25,324327.0,Alexander Isak,Alexander,Isak,F,14.0,Centre Striker,Newcastle United,NEW,1.0,24 years 337 days,Sweden,7.0
2024/25,359409.0,Daichi Kamada,Daichi,Kamada,M,18.0,Centre Attacking Midfielder,Crystal Palace,CRY,1.0,28 years 18 days,Japan,7.0
2024/25,346333.0,Mohammed Kudus,Mohammed,Kudus,M,14.0,Midfielder,West Ham United,WHU,1.0,24 years 21 days,Ghana,7.0
2024/25,359330.0,Ian Maatsen,Ian,Maatsen,D,22.0,Left Full Back,Aston Villa,AVL,1.0,22 years 166 days,Netherlands,7.0
2024/25,19620.0,Marcus Rashford,Marcus,Rashford,F,10.0,Left/Centre Second Striker,Manchester United,MUN,1.0,26 years 297 days,England,7.0
2024/25,320542.0,Chris Richards,Chris,Richards,D,26.0,Centre Central Defender,Crystal Palace,CRY,1.0,24 years 148 days,United States,7.0
2024/25,190129.0,Antonee Robinson,Antonee,Robinson,D,33.0,Left Full Back,Fulham,FUL,1.0,27 years 15 days,United States,7.0
2024/25,340456.0,Kevin Schade,Kevin,Schade,M,7.0,Left/Right Winger,Brentford,BRE,1.0,22 years 270 days,Germany,7.0
2024/25,362647.0,Dominic Solanke,Dominic,Solanke,F,19.0,Striker,Tottenham Hotspur,TOT,1.0,26 years 344 days,England,7.0
2024/25,23381.0,Jack Stephens,Jack,Stephens,D,n/a,Defender,n/a,n/a,1.0,30 years 209 days,England,7.0
2024/25,340567.0,Chris Wood,Chris,Wood,F,11.0,Centre Striker,Nottingham Forest,NFO,1.0,32 years 260 days,New Zealand,7.0
2024/25,282013.0,Marc Guéhi,Marc,Guéhi,D,6.0,Centre Central Defender,Crystal Palace,CRY,0.0,24 years 41 days,England,31.0
2023/24,312801.0,Darwin Núñez,Darwin,Núñez,F,9.0,Centre Striker,Liverpool,LIV,33.0,25 years 60 days,Uruguay,1.0
2023/24,340743.0,Nicolas Jackson,Nicolas,Jackson,F,15.0,Centre Second Striker,Chelsea,CHE,28.0,23 years 64 days,Senegal,2.0
2023/24,41062.0,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,F,9.0,Centre Striker,Everton,EVE,24.0,27 years 160 days,England,3.0
2023/24,302911.0,Jean-Philippe Mateta,Jean-Philippe,Mateta,F,14.0,Centre Striker,Crystal Palace,CRY,24.0,27 years 56 days,France,3.0
2023/24,222694.0,Abdoulaye Doucouré,Abdoulaye,Doucouré,M,16.0,Centre Central Midfielder,Everton,EVE,21.0,31 years 235 days,Mali,5.0
2023/24,180212.0,Jarrod Bowen,Jarrod,Bowen,F,20.0,Centre Striker,West Ham United,WHU,20.0,27 years 247 days,England,6.0
2023/24,302686.0,Luis Díaz,Luis,Díaz,F,7.0,Left/Right Winger,Liverpool,LIV,20.0,27 years 223 days,Colombia,6.0
2023/24,20239.0,Son Heung-Min,Heung-Min,Son,F,7.0,Left/Centre/Right Winger,Tottenham Hotspur,TOT,20.0,32 years 46 days,South Korea,6.0
2023/24,286396.0,Yoane Wissa,Yoane,Wissa,M,11.0,Left Winger,Brentford,BRE,20.0,27 years 355 days,DR Congo,6.0
2023/24,342996.0,Anthony Elanga,Anthony,Elanga,F,21.0,Left Winger,Nottingham Forest,NFO,19.0,22 years 118 days,Sweden,10.0
2023/24,315374.0,Simon Adingra,Simon,Adingra,F,11.0,Left Winger,Brighton & Hove Albion,BHA,17.0,22 years 235 days,Cote D’Ivoire,11.0
2023/24,324327.0,Alexander Isak,Alexander,Isak,F,14.0,Centre Striker,Newcastle United,NEW,17.0,24 years 337 days,Sweden,11.0
2023/24,47184.0,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,F,11.0,Left/Centre/Right Winger,Liverpool,LIV,17.0,32 years 69 days,Egypt,11.0
2023/24,315355.0,Gabriel Jesus,Gabriel Fernando,de Jesus,F,9.0,Second Striker,Arsenal,ARS,16.0,27 years 142 days,Brazil,14.0
2023/24,346333.0,Mohammed Kudus,Mohammed,Kudus,M,14.0,Midfielder,West Ham United,WHU,16.0,24 years 21 days,Ghana,14.0
2023/24,362647.0,Dominic Solanke,Dominic,Solanke,F,19.0,Striker,n/a,n/a,16.0,26 years 344 days,England,14.0
2023/24,226363.0,Ollie Watkins,Ollie,Watkins,F,11.0,Left/Centre/Right Second Striker,Aston Villa,AVL,16.0,28 years 237 days,England,14.0
2023/24,309995.0,Alejandro Garnacho,Alejandro,Garnacho,F,17.0,Left/Right Winger,Manchester United,MUN,15.0,20 years 53 days,Argentina,18.0
2023/24,340669.0,Kai Havertz,Kai,Havertz,M,29.0,Left/Centre/Right Attacking Midfielder,Arsenal,ARS,15.0,25 years 73 days,Germany,18.0
2023/24,312590.0,Hwang Hee-Chan,Hee-Chan,Hwang,F,11.0,Centre Striker,Wolverhampton Wanderers,WOL,15.0,28 years 210 days,South Korea,18.0
2023/24,343771.0,Rasmus Højlund,Rasmus,Højlund,F,9.0,Centre Striker,Manchester United,MUN,15.0,21 years 201 days,Denmark,18.0
2023/24,337205.0,Lyle Foster,Lyle,Foster,F,17.0,Centre Striker,Burnley,BUR,14.0,23 years 355 days,South Africa,22.0
2023/24,268672.0,Elijah Adebayo,Elijah,Adebayo,F,11.0,Centre Striker,Luton Town,LUT,13.0,26 years 229 days,England,23.0
2023/24,362951.0,Cameron Archer,Cameron,Archer,F,19.0,Forward,Sheffield United,SHU,13.0,22 years 258 days,England,23.0
2023/24,313792.0,Taiwo Awoniyi,Taiwo,Awoniyi,F,9.0,Centre Striker,Nottingham Forest,NFO,13.0,27 years 11 days,Nigeria,23.0
2023/24,180060.0,Bruno Fernandes,Bruno Miguel,Borges Fernandes,M,8.0,Left/Centre/Right Attacking Midfielder,Manchester United,MUN,13.0,29 years 350 days,Portugal,23.0
2023/24,313731.0,Alfie Doughty,Alfie,Doughty,M,45.0,Left Winger,Luton Town,LUT,13.0,24 years 246 days,England,23.0
2023/24,347089.0,Brennan Johnson,Brennan,Johnson,F,22.0,Centre Striker,Tottenham Hotspur,TOT,13.0,23 years 92 days,Wales,23.0
2023/24,314636.0,Richarlison,Richarlison,de Andrade,F,9.0,Left/Centre/Right Second Striker,Tottenham Hotspur,TOT,12.0,27 years 105 days,Brazil,29.0
2023/24,343093.0,Raúl Jiménez,Raúl,Jiménez,F,7.0,Striker,Fulham,FUL,12.0,33 years 110 days,Mexico,29.0
2023/24,19620.0,Marcus Rashford,Marcus,Rashford,F,10.0,Left/Centre Second Striker,Manchester United,MUN,12.0,26 years 297 days,England,29.0
2023/24,355268.0,Timo Werner,Timo,Werner,F,16.0,Centre Striker,Tottenham Hotspur,TOT,12.0,28 years 170 days,Germany,29.0
2023/24,284910.0,Leon Bailey,Leon,Bailey,M,31.0,Left Winger,Aston Villa,AVL,11.0,27 years 14 days,Jamaica,33.0
2023/24,362065.0,Ben Brereton,Ben,Brereton,F,17.0,Left Winger,Sheffield United,SHU,11.0,25 years 127 days,Chile,33.0
2023/24,343285.0,Jacob Bruun Larsen,Jacob,Bruun Larsen,F,34.0,Left Winger,Burnley,BUR,11.0,25 years 339 days,Denmark,33.0
2023/24,320724.0,Eberechi Eze,Eberechi,Eze,M,10.0,Centre Attacking Midfielder,Crystal Palace,CRY,11.0,26 years 55 days,England,33.0
2023/24,340425.0,João Pedro,João Pedro,Junqueira de Jesus,F,9.0,Centre Striker,Brighton & Hove Albion,BHA,11.0,22 years 332 days,Brazil,33.0
2023/24,284417.0,Ben White,Ben,White,D,4.0,Centre/Right Central Defender,Arsenal,ARS,11.0,26 years 320 days,England,33.0
2023/24,154335.0,Miguel Almirón,Miguel,Almirón,M,24.0,Left/Centre/Right Second Striker,Newcastle United,NEW,10.0,30 years 195 days,Paraguay,39.0
2023/24,346391.0,Beto,Norberto Bercique,Gomes Betuncal,F,14.0,Centre Striker,Everton,EVE,10.0,26 years 205 days,Portugal,39.0
2023/24,340568.0,Dejan Kulusevski,Dejan,Kulusevski,M,21.0,Right Winger,Tottenham Hotspur,TOT,10.0,24 years 120 days,Sweden,39.0
2023/24,259014.0,Tomás Soucek,Tomás,Soucek,M,28.0,Centre Defensive Midfielder,West Ham United,WHU,10.0,29 years 178 days,Czech Republic,39.0
2023/24,317508.0,Raheem Sterling,Raheem,Sterling,F,7.0,Left/Centre/Right Second Striker,Chelsea,CHE,10.0,29 years 259 days,England,39.0
2023/24,327643.0,Michail Antonio,Michail,Antonio,F,n/a,Centre Striker,West Ham United,WHU,9.0,34 years 148 days,Jamaica,44.0
2023/24,288980.0,Odsonne Édouard,Odsonne,Édouard,F,22.0,Centre Striker,Crystal Palace,CRY,9.0,26 years 220 days,France,44.0
2023/24,355602.0,David Datro Fofana,David Datro,Fofana,F,23.0,Forward,Burnley,BUR,9.0,21 years 245 days,Cote D’Ivoire,44.0
2023/24,347498.0,Callum Hudson-Odoi,Callum,Hudson-Odoi,F,14.0,Left Winger,Nottingham Forest,NFO,9.0,23 years 290 days,England,44.0
2023/24,166789.0,Gabriel Martinelli,Gabriel Teodoro,Martinelli Silva,M,n/a,Midfielder,Arsenal,ARS,9.0,23 years 66 days,Brazil,44.0
2023/24,315742.0,Carlton Morris,Carlton,Morris,F,9.0,Centre Striker,Luton Town,LUT,9.0,28 years 251 days,England,44.0
2023/24,336549.0,Pablo Sarabia,Pablo,Sarabia,M,21.0,Left/Centre/Right Attacking Midfielder,Wolverhampton Wanderers,WOL,9.0,32 years 104 days,Spain,44.0
2023/24,336745.0,Leandro Trossard,Leandro,Trossard,F,19.0,Forward,Arsenal,ARS,9.0,29 years 263 days,Belgium,44.0
2023/24,259569.0,Danny Welbeck,Danny,Welbeck,F,18.0,Centre Striker,Brighton & Hove Albion,BHA,9.0,33 years 271 days,England,44.0
2023/24,279691.0,Rayan Aït-Nouri,Rayan,Aït-Nouri,D,3.0,Left Full Back,Wolverhampton Wanderers,WOL,8.0,23 years 78 days,Algeria,53.0
2023/24,335653.0,Cody Gakpo,Cody,Gakpo,F,18.0,Centre Striker,Liverpool,LIV,8.0,25 years 108 days,Netherlands,53.0
2023/24,337516.0,Anthony Gordon,Anthony,Gordon,F,10.0,Winger,Newcastle United,NEW,8.0,23 years 181 days,England,53.0
2023/24,346851.0,Alex Iwobi,Alex,Iwobi,F,17.0,Left/Centre/Right Second Striker,Fulham,FUL,8.0,28 years 112 days,Nigeria,53.0
2023/24,342995.0,Luca Koleosho,Luca,Koleosho,F,30.0,Right Winger,Burnley,BUR,8.0,19 years 343 days,Italy,53.0
2023/24,336342.0,Mario Lemina,Mario,Lemina,M,5.0,Centre Central Midfielder,Wolverhampton Wanderers,WOL,8.0,30 years 357 days,Gabon,53.0
2023/24,356506.0,Daniel Muñoz,Daniel,Muñoz,D,12.0,Right Full Back,Crystal Palace,CRY,8.0,28 years 89 days,Colombia,53.0
2023/24,161996.0,Eddie Nketiah,Eddie,Nketiah,F,14.0,Centre Striker,Arsenal,ARS,8.0,25 years 85 days,England,53.0
2023/24,340667.0,Chiedozie Ogbene,Chiedozie,Ogbene,F,7.0,Left/Right Winger,Luton Town,LUT,8.0,27 years 114 days,Ireland,53.0
2023/24,135654.0,Bukayo Saka,Bukayo,Saka,F,77.0,Left Winger,Arsenal,ARS,8.0,22 years 353 days,England,53.0
2023/24,160688.0,Jordan Ayew,Jordan,Ayew,F,9.0,Centre Striker,Crystal Palace,CRY,7.0,32 years 347 days,Ghana,63.0
2023/24,32140.0,Solly March,Solly,March,M,7.0,Left/Centre/Right Attacking Midfielder,Brighton & Hove Albion,BHA,7.0,30 years 34 days,England,63.0
2023/24,289869.0,Kaoru Mitoma,Kaoru,Mitoma,F,18.0,Forward,Brighton & Hove Albion,BHA,7.0,27 years 95 days,Japan,63.0
2023/24,95187.0,Jay Rodriguez,Jay,Rodriguez,F,9.0,Left/Centre/Right Second Striker,Burnley,BUR,7.0,35 years 25 days,England,63.0
2023/24,202655.0,Ivan Toney,Ivan,Toney,F,17.0,Centre Striker,Brentford,BRE,7.0,28 years 160 days,England,63.0
2023/24,50015.0,Kyle Walker,Kyle,Walker,D,2.0,Right Full Back,Manchester City,MCI,7.0,34 years 87 days,England,63.0
2023/24,340567.0,Chris Wood,Chris,Wood,F,11.0,Centre Striker,Nottingham Forest,NFO,7.0,32 years 260 days,New Zealand,63.0
2023/24,356788.0,Carlos Vinícius,Carlos Vinícius,Alves Morais,F,95.0,Centre Striker,n/a,n/a,6.0,29 years 151 days,Brazil,70.0
2023/24,356740.0,Armando Broja,Armando,Broja,F,9.0,Striker,Chelsea,CHE,6.0,22 years 348 days,Albania,70.0
2023/24,344580.0,Jacob Brown,Jacob,Brown,F,19.0,Forward,Luton Town,LUT,6.0,26 years 135 days,Scotland,70.0
2023/24,323846.0,Casemiro,Carlos Henrique,Casimiro,M,18.0,Centre Central Midfielder,Manchester United,MUN,6.0,32 years 182 days,Brazil,70.0
2023/24,320636.0,Vitinho,Victor Alexander,da Silva,D,22.0,Right Full Back,Burnley,BUR,6.0,25 years 31 days,Brazil,70.0
2023/24,361719.0,Moussa Diaby,Moussa,Diaby,F,n/a,Right Winger,n/a,n/a,6.0,25 years 47 days,France,70.0
2023/24,323587.0,Morgan Gibbs-White,Morgan,Gibbs-White,M,10.0,Centre Central Midfielder,Nottingham Forest,NFO,6.0,24 years 209 days,England,70.0
2023/24,338125.0,Malo Gusto,Malo,Gusto,D,27.0,Right Full Back,Chelsea,CHE,6.0,21 years 96 days,France,70.0
2023/24,312560.0,Erling Haaland,Erling,Haaland,F,9.0,Centre Striker,Manchester City,MCI,6.0,24 years 33 days,Norway,70.0
2023/24,344713.0,Gustavo Hamer,Gustavo,Hamer,M,8.0,Centre Defensive Midfielder,Sheffield United,SHU,6.0,27 years 60 days,Netherlands,70.0
2023/24,160158.0,Rodri,Rodrigo,Hernández Cascante,M,16.0,Centre Central Midfielder,Manchester City,MCI,6.0,28 years 62 days,Spain,70.0
2023/24,161345.0,Harry Maguire,Harry,Maguire,D,5.0,Centre Central Defender,Manchester United,MUN,6.0,31 years 171 days,England,70.0
2023/24,346844.0,Neal Maupay,Neal,Maupay,F,7.0,Centre Striker,Everton,EVE,6.0,28 years 9 days,France,70.0
2023/24,43231.0,Scott McTominay,Scott,McTominay,M,39.0,Centre Attacking Midfielder,Manchester United,MUN,6.0,27 years 259 days,Scotland,70.0
2023/24,362575.0,William Osula,William,Osula,F,18.0,Centre Striker,Sheffield United,SHU,6.0,21 years 19 days,Denmark,70.0
2023/24,346777.0,Cole Palmer,Cole,Palmer,M,20.0,Attacking Midfielder,Chelsea,CHE,6.0,22 years 109 days,England,70.0
2023/24,353559.0,Youssef Chermiti,Youssef,Ramalho Chermiti,F,28.0,Striker,Everton,EVE,6.0,20 years 91 days,Portugal,70.0
2023/24,359174.0,Enes Ünal,Enes,Ünal,F,26.0,Centre Striker,n/a,n/a,6.0,27 years 105 days,Turkey,70.0
2023/24,318816.0,Jarrad Branthwaite,Jarrad,Branthwaite,D,22.0,Central Defender,Everton,EVE,5.0,22 years 57 days,England,88.0
2023/24,288967.0,Ryan Christie,Ryan,Christie,M,10.0,Left/Centre/Right Attacking Midfielder,Bournemouth,BOU,5.0,29 years 183 days,Scotland,88.0
2023/24,187454.0,Jordan Clark,Jordan,Clark,M,18.0,Right Winger,Luton Town,LUT,5.0,30 years 336 days,England,88.0
2023/24,294007.0,Matt Doherty,Matt,Doherty,D,2.0,Right Full Back,Wolverhampton Wanderers,WOL,5.0,32 years 220 days,Ireland,88.0
2023/24,345865.0,Jérémy Doku,Jérémy,Doku,F,11.0,Left/Right Winger,Manchester City,MCI,5.0,22 years 88 days,Belgium,88.0
2023/24,323410.0,Pervis Estupiñán,Pervis,Estupiñán,D,30.0,Left Full Back,Brighton & Hove Albion,BHA,5.0,26 years 215 days,Ecuador,88.0
2023/24,323333.0,Evan Ferguson,Evan,Ferguson,F,28.0,Centre Striker,Brighton & Hove Albion,BHA,5.0,19 years 309 days,Ireland,88.0
2023/24,260162.0,Phil Foden,Phil,Foden,M,n/a,Centre Central Midfielder,Manchester City,MCI,5.0,24 years 87 days,England,88.0
2023/24,138634.0,Curtis Jones,Curtis,Jones,M,17.0,Centre Central Midfielder,Liverpool,LIV,5.0,23 years 206 days,England,88.0
2023/24,340631.0,Justin Kluivert,Justin,Kluivert,F,19.0,Left/Right Winger,Bournemouth,BOU,5.0,25 years 110 days,Netherlands,88.0
2023/24,346778.0,Matheus Nunes,Matheus Luiz,Nunes,M,27.0,Central Midfielder,Manchester City,MCI,5.0,25 years 362 days,Portugal,88.0
2023/24,346867.0,Divock Origi,Divock,Origi,F,27.0,Centre Striker,n/a,n/a,5.0,29 years 127 days,Belgium,88.0
2023/24,354818.0,Fábio Silva,Fábio Daniel,Soares Silva,F,7.0,Centre Striker,n/a,n/a,5.0,22 years 35 days,Portugal,88.0
2023/24,325037.0,Lucas Paquetá,Lucas,Tolentino Coelho de Lima,M,10.0,Centre Attacking Midfielder,West Ham United,WHU,5.0,26 years 362 days,Brazil,88.0
2023/24,283241.0,Harry Wilson,Harry,Wilson,M,8.0,Left/Right Winger,Fulham,FUL,5.0,27 years 154 days,Wales,88.0
2023/24,361345.0,Jayden Bogle,Jayden,Bogle,D,2.0,Right Full Back,Sheffield United,SHU,4.0,24 years 27 days,England,103.0
2023/24,302934.0,Dan Burn,Dan,Burn,D,33.0,Centre Central Defender,Newcastle United,NEW,4.0,32 years 106 days,England,103.0
2023/24,344342.0,Matheus Cunha,Matheus Santos,Carneiro da Cunha,F,12.0,Striker,Wolverhampton Wanderers,WOL,4.0,25 years 88 days,Brazil,103.0
2023/24,325151.0,Ben Chilwell,Ben,Chilwell,D,21.0,Left Full Back,Chelsea,CHE,4.0,27 years 246 days,England,103.0
2023/24,342028.0,Tahith Chong,Tahith,Chong,M,14.0,Left/Right Winger,Luton Town,LUT,4.0,24 years 263 days,Netherlands,103.0
2023/24,323026.0,Levi Colwill,Levi,Colwill,D,n/a,Centre Central Defender,Chelsea,CHE,4.0,21 years 179 days,England,103.0
2023/24,336892.0,Craig Dawson,Craig,Dawson,D,15.0,Centre Central Defender,Wolverhampton Wanderers,WOL,4.0,34 years 109 days,England,103.0
2023/24,360340.0,Bobby De Cordova-Reid,Bobby,De Cordova-Reid,F,14.0,Forward,n/a,n/a,4.0,31 years 203 days,Jamaica,103.0
2023/24,343595.0,Axel Disasi,Axel,Disasi,D,2.0,Centre Central Defender,Chelsea,CHE,4.0,26 years 165 days,France,103.0
2023/24,337015.0,Jhon Durán,Jhon,Durán,F,9.0,Striker,Aston Villa,AVL,4.0,20 years 254 days,Colombia,103.0
2023/24,337917.0,Enzo Fernández,Enzo,Fernández,M,8.0,Midfielder,Chelsea,CHE,4.0,23 years 219 days,Argentina,103.0
2023/24,340460.0,Jefferson Lerma,Jefferson,Lerma,M,8.0,Centre Central Midfielder,Crystal Palace,CRY,4.0,29 years 303 days,Colombia,103.0
2023/24,361726.0,Oliver McBurnie,Oliver,McBurnie,F,16.0,Centre Striker,Sheffield United,SHU,4.0,28 years 80 days,Scotland,103.0
2023/24,320612.0,Dwight McNeil,Dwight,McNeil,F,7.0,Left Winger,Everton,EVE,4.0,24 years 275 days,England,103.0
2023/24,323855.0,Rodrigo Muniz,Rodrigo,Muniz Carvalho,F,9.0,Striker,Fulham,FUL,4.0,23 years 111 days,Brazil,103.0
2023/24,282042.0,Frank Onyeka,Frank,Onyeka,M,15.0,Centre Central Midfielder,Brentford,BRE,4.0,26 years 235 days,Nigeria,103.0
2023/24,336736.0,Dango Ouattara,Dango,Ouattara,F,11.0,Forward,Bournemouth,BOU,4.0,22 years 194 days,Burkina Faso,103.0
2023/24,355776.0,Sergio Reguilón,Sergio,Reguilón,D,12.0,Left Full Back,Tottenham Hotspur,TOT,4.0,27 years 251 days,Spain,103.0
2023/24,359151.0,Luis Sinisterra,Luis,Sinisterra,F,17.0,Right Winger,n/a,n/a,4.0,25 years 67 days,Colombia,103.0
2023/24,316560.0,Neco Williams,Neco,Williams,D,7.0,Right Full Back,Nottingham Forest,NFO,4.0,23 years 132 days,Wales,103.0
2023/24,219427.0,Callum Wilson,Callum,Wilson,F,9.0,Centre Striker,Newcastle United,NEW,4.0,32 years 178 days,England,103.0
2023/24,362646.0,Facundo Buonanotte,Facundo,Buonanotte,M,40.0,Centre Attacking Midfielder,n/a,n/a,3.0,19 years 244 days,Argentina,124.0
2023/24,346392.0,Timothy Castagne,Timothy,Castagne,D,21.0,Right Full Back,Fulham,FUL,3.0,28 years 262 days,Belgium,124.0
2023/24,340957.0,Nathan Collins,Nathan,Collins,D,22.0,Centre Central Defender,Brentford,BRE,3.0,23 years 115 days,Ireland,124.0
2023/24,322418.0,Maxwel Cornet,Maxwel,Cornet,F,22.0,Winger,West Ham United,WHU,3.0,27 years 331 days,Cote D’Ivoire,124.0
2023/24,322881.0,Mikkel Damsgaard,Mikkel,Damsgaard,M,24.0,Left/Centre Attacking Midfielder,Brentford,BRE,3.0,24 years 51 days,Denmark,124.0
2023/24,358596.0,Arnaut Danjuma,Arnaut,Danjuma,F,n/a,Forward,n/a,n/a,3.0,27 years 205 days,Netherlands,124.0
2023/24,300571.0,Lucas Digne,Lucas,Digne,D,12.0,Left Full Back,Aston Villa,AVL,3.0,31 years 34 days,France,124.0
2023/24,338756.0,James Garner,James,Garner,M,n/a,Centre Central Midfielder,Everton,EVE,3.0,23 years 163 days,England,124.0
2023/24,362163.0,Pascal Groß,Pascal,Groß,M,13.0,Centre Central Midfielder,n/a,n/a,3.0,33 years 69 days,Germany,124.0
2023/24,316561.0,Andreas Pereira,Andreas Hugo,Hoelgebaum Pereira,M,18.0,Attacking Midfielder,Fulham,FUL,3.0,28 years 235 days,Brazil,124.0
2023/24,258703.0,Vitaly Janelt,Vitaly,Janelt,M,27.0,Centre Defensive Midfielder,Brentford,BRE,3.0,26 years 105 days,Germany,124.0
2023/24,362873.0,Zanka,Mathias,Jørgensen,D,13.0,Centre Central Defender,n/a,n/a,3.0,34 years 122 days,Denmark,124.0
2023/24,345135.0,Tariq Lamptey,Tariq,Lamptey,D,n/a,Defender,Brighton & Hove Albion,BHA,3.0,23 years 328 days,Ghana,124.0
2023/24,317507.0,Keane Lewis-Potter,Keane,Lewis-Potter,F,23.0,Striker,Brentford,BRE,3.0,23 years 183 days,England,124.0
2023/24,44159.0,Victor Lindelöf,Victor,Lindelöf,D,n/a,Centre Central Defender,Manchester United,MUN,3.0,30 years 37 days,Sweden,124.0
2023/24,336789.0,Noni Madueke,Noni,Madueke,F,n/a,Winger,Chelsea,CHE,3.0,22 years 166 days,England,124.0
2023/24,301809.0,Anthony Martial,Anthony,Martial,F,22.0,Left/Centre/Right Striker,n/a,n/a,3.0,28 years 262 days,France,124.0
2023/24,161347.0,Bryan Mbeumo,Bryan,Mbeumo,M,19.0,Left Winger,Brentford,BRE,3.0,25 years 16 days,Cameroon,124.0
2023/24,340458.0,James Milner,James,Milner,M,6.0,Left/Centre/Right Central Midfielder,Brighton & Hove Albion,BHA,3.0,38 years 232 days,England,124.0
2023/24,44030.0,Bernardo Silva,Bernardo,Mota Veiga de Carvalho e Silva,M,20.0,Left/Centre Attacking Midfielder,Manchester City,MCI,3.0,30 years 13 days,Portugal,124.0
2023/24,340570.0,Christopher Nkunku,Christopher,Nkunku,F,18.0,Left/Centre Second Striker,Chelsea,CHE,3.0,26 years 283 days,France,124.0
2023/24,356760.0,Connor Roberts,Connor,Roberts,D,33.0,Right Full Back,Burnley,BUR,3.0,28 years 335 days,Wales,124.0
2023/24,50135.0,Andy Robertson,Andy,Robertson,D,26.0,Left Full Back,Liverpool,LIV,3.0,30 years 165 days,Scotland,124.0
2023/24,190129.0,Antonee Robinson,Antonee,Robinson,D,33.0,Left Full Back,Fulham,FUL,3.0,27 years 15 days,United States,124.0
2023/24,166522.0,Mads Roerslev,Mads,Roerslev,D,30.0,Right Full Back,Brentford,BRE,3.0,25 years 60 days,Denmark,124.0
2023/24,337402.0,Antoine Semenyo,Antoine,Semenyo,F,24.0,Centre Striker,Bournemouth,BOU,3.0,24 years 229 days,Ghana,124.0
2023/24,340932.0,Dominik Szoboszlai,Dominik,Szoboszlai,M,8.0,Left/Centre/Right Attacking Midfielder,Liverpool,LIV,3.0,23 years 303 days,Hungary,124.0
2023/24,348034.0,Marcus Tavernier,Marcus,Tavernier,M,n/a,Midfielder,Bournemouth,BOU,3.0,25 years 154 days,England,124.0
2023/24,255674.0,Diogo Jota,Diogo José,Teixeira da Silva,F,20.0,Left/Centre/Right Striker,Liverpool,LIV,3.0,27 years 263 days,Portugal,124.0
2023/24,363000.0,Kieran Trippier,Kieran,Trippier,D,n/a,Right Full Back,Newcastle United,NEW,3.0,33 years 339 days,England,124.0
